Split_width(g),dis_b/w_rings(d),Freq [GHz],s11,vswr
0.5,0.4,0,-4.69E-09,106.0205999
0.5,0.4,0.034375,-0.006693317,68.30725934
0.5,0.4,0.06875,-0.026522043,56.34778646
0.5,0.4,0.103125,-0.058682479,49.40402308
0.5,0.4,0.1375,-0.101350416,44.36078442
0.5,0.4,0.171875,-0.153626045,40.63183956
0.5,0.4,0.20625,-0.213765136,37.71860345
0.5,0.4,0.240625,-0.279829502,35.37107939
0.5,0.4,0.275,-0.349777717,33.44427008
0.5,0.4,0.309375,-0.421554285,31.84574823
0.5,0.4,0.34375,-0.493172561,30.51249246
0.5,0.4,0.378125,-0.562787781,29.39927651
0.5,0.4,0.4125,-0.628757536,28.47229232
0.5,0.4,0.446875,-0.689687924,27.7053931
0.5,0.4,0.48125,-0.744464405,27.07775359
0.5,0.4,0.515625,-0.792267142,26.57234694
0.5,0.4,0.55,-0.832571382,26.1749186
0.5,0.4,0.584375,-0.865134208,25.87327725
0.5,0.4,0.61875,-0.889969712,25.65679665
0.5,0.4,0.653125,-0.907315239,25.51606244
0.5,0.4,0.6875,-0.917591711,25.44262114
0.5,0.4,0.721875,-0.921361144,25.42880202
0.5,0.4,0.75625,-0.919284266,25.46759135
0.5,0.4,0.790625,-0.912080704,25.55254377
0.5,0.4,0.825,-0.900493606,25.67771972
0.5,0.4,0.859375,-0.88525989,25.83764057
0.5,0.4,0.89375,-0.867086664,26.02725539
0.5,0.4,0.928125,-0.8466338,26.24191494
0.5,0.4,0.9625,-0.824502235,26.47734993
0.5,0.4,0.996875,-0.801227272,26.72965152
0.5,0.4,1.03125,-0.777276015,26.99525284
0.5,0.4,1.065625,-0.753048045,27.2709108
0.5,0.4,1.1,-0.728878479,27.55368804
0.5,0.4,1.134375,-0.70504264,27.84093481
0.5,0.4,1.16875,-0.681761712,28.13027089
0.5,0.4,1.203125,-0.659208857,28.41956776
0.5,0.4,1.2375,-0.637515418,28.70693111
0.5,0.4,1.271875,-0.616776924,28.99068387
0.5,0.4,1.30625,-0.597058714,29.26934988
0.5,0.4,1.340625,-0.57840107,29.54163827
0.5,0.4,1.375,-0.560823796,29.80642866
0.5,0.4,1.409375,-0.544330246,30.06275718
0.5,0.4,1.44375,-0.528910796,30.30980327
0.5,0.4,1.478125,-0.514545806,30.5468773
0.5,0.4,1.5125,-0.501208116,30.77340902
0.5,0.4,1.546875,-0.48886512,30.98893668
0.5,0.4,1.58125,-0.477480471,31.19309689
0.5,0.4,1.615625,-0.467015469,31.38561515
0.5,0.4,1.65,-0.457430177,31.56629696
0.5,0.4,1.684375,-0.448684301,31.73501955
0.5,0.4,1.71875,-0.440737885,31.89172415
0.5,0.4,1.753125,-0.433551835,32.03640876
0.5,0.4,1.7875,-0.427088325,32.1691214
0.5,0.4,1.821875,-0.421311081,32.28995388
0.5,0.4,1.85625,-0.416185591,32.39903596
0.5,0.4,1.890625,-0.411679235,32.49652992
0.5,0.4,1.925,-0.407761373,32.58262564
0.5,0.4,1.959375,-0.404403374,32.65753593
0.5,0.4,1.99375,-0.40157863,32.72149234
0.5,0.4,2.028125,-0.39926253,32.77474132
0.5,0.4,2.0625,-0.397432428,32.81754064
0.5,0.4,2.096875,-0.39606759,32.85015626
0.5,0.4,2.13125,-0.395149137,32.87285942
0.5,0.4,2.165625,-0.39465998,32.88592406
0.5,0.4,2.2,-0.394584759,32.88962452
0.5,0.4,2.234375,-0.394909772,32.88423348
0.5,0.4,2.26875,-0.395622913,32.8700202
0.5,0.4,2.303125,-0.396713611,32.84724887
0.5,0.4,2.3375,-0.398172773,32.81617729
0.5,0.4,2.371875,-0.39999273,32.77705568
0.5,0.4,2.40625,-0.40216719,32.73012563
0.5,0.4,2.440625,-0.404691193,32.67561926
0.5,0.4,2.475,-0.40756108,32.61375853
0.5,0.4,2.509375,-0.41077446,32.54475458
0.5,0.4,2.54375,-0.414330189,32.46880726
0.5,0.4,2.578125,-0.418228349,32.38610477
0.5,0.4,2.6125,-0.422470245,32.29682326
0.5,0.4,2.646875,-0.427058398,32.20112668
0.5,0.4,2.68125,-0.431996553,32.0991665
0.5,0.4,2.715625,-0.43728969,31.99108162
0.5,0.4,2.75,-0.442944049,31.87699823
0.5,0.4,2.784375,-0.448967157,31.75702977
0.5,0.4,2.81875,-0.455367867,31.63127684
0.5,0.4,2.853125,-0.462156407,31.49982716
0.5,0.4,2.8875,-0.469344442,31.36275554
0.5,0.4,2.921875,-0.476945139,31.22012386
0.5,0.4,2.95625,-0.484973252,31.07198099
0.5,0.4,2.990625,-0.493445215,30.91836279
0.5,0.4,3.025,-0.502379256,30.759292
0.5,0.4,3.059375,-0.511795514,30.59477818
0.5,0.4,3.09375,-0.521716188,30.42481759
0.5,0.4,3.128125,-0.532165696,30.24939309
0.5,0.4,3.1625,-0.543170857,30.06847393
0.5,0.4,3.196875,-0.5547611,29.8820156
0.5,0.4,3.23125,-0.566968693,29.68995959
0.5,0.4,3.265625,-0.579829012,29.49223308
0.5,0.4,3.3,-0.593380835,29.28874872
0.5,0.4,3.334375,-0.60766668,29.07940418
0.5,0.4,3.36875,-0.622733182,28.86408181
0.5,0.4,3.403125,-0.638631528,28.64264818
0.5,0.4,3.4375,-0.655417935,28.4149536
0.5,0.4,3.471875,-0.673154208,28.18083153
0.5,0.4,3.50625,-0.691908361,27.94009801
0.5,0.4,3.540625,-0.711755324,27.692551
0.5,0.4,3.575,-0.732777759,27.43796965
0.5,0.4,3.609375,-0.755066969,27.17611356
0.5,0.4,3.64375,-0.778723957,26.90672193
0.5,0.4,3.678125,-0.803860621,26.62951268
0.5,0.4,3.7125,-0.830601134,26.34418155
0.5,0.4,3.746875,-0.859083517,26.05040109
0.5,0.4,3.78125,-0.88946146,25.74781966
0.5,0.4,3.815625,-0.921906406,25.43606039
0.5,0.4,3.85,-0.956609971,25.11472008
0.5,0.4,3.884375,-0.993786732,24.78336817
0.5,0.4,3.91875,-1.03367746,24.4415457
0.5,0.4,3.953125,-1.076552881,24.08876424
0.5,0.4,3.9875,-1.122718043,23.72450509
0.5,0.4,4.021875,-1.172517412,23.34821839
0.5,0.4,4.05625,-1.226340823,22.95932264
0.5,0.4,4.090625,-1.284630443,22.55720435
0.5,0.4,4.125,-1.347888933,22.14121813
0.5,0.4,4.159375,-1.416689029,21.71068729
0.5,0.4,4.19375,-1.49168481,21.26490508
0.5,0.4,4.228125,-1.573624958,20.80313682
0.5,0.4,4.2625,-1.663368387,20.32462316
0.5,0.4,4.296875,-1.761902674,19.82858475
0.5,0.4,4.33125,-1.870365803,19.31422876
0.5,0.4,4.365625,-1.990071808,18.78075778
0.5,0.4,4.4,-2.122541003,18.22738158
0.5,0.4,4.434375,-2.26953557,17.65333262
0.5,0.4,4.46875,-2.433101346,17.05788623
